# Last update: Mon, 24 Feb 2020 23:00:11 +0100
#
# IP	number of (black)lists
#
89.234.157.254	11
46.165.230.5	11
195.206.105.217	11
18.27.197.252	10
178.165.72.177	10
162.247.74.74	9
46.165.245.154	9
185.220.102.8	9
162.247.74.27	9
77.247.181.163	9
62.210.105.116	9
162.247.74.204	8
212.47.229.4	8
46.101.214.122	8
171.25.193.77	8
185.107.47.171	8
113.240.247.163	8
171.25.193.78	8
192.42.116.16	8
92.63.194.104	8
185.220.102.7	8
209.141.35.177	8
66.230.230.230	8
165.227.121.230	8
159.89.181.213	8
222.124.18.155	8
176.10.99.200	8
144.217.255.89	8
128.199.175.116	8
158.174.122.199	8
185.117.215.9	7
195.176.3.23	7
185.107.47.215	7
46.101.88.10	7
118.70.216.153	7
185.220.101.33	7
199.87.154.255	7
176.10.104.240	7
111.174.7.163	7
162.247.72.199	7
163.172.77.243	7
185.220.100.253	7
185.220.100.252	7
162.220.162.38	7
185.220.101.24	7
101.227.243.56	7
185.220.102.6	7
209.141.58.58	7
222.186.30.145	7
188.213.49.176	7
77.247.181.162	7
67.205.161.160	7
94.203.254.248	7
46.101.103.191	7
78.131.11.10	7
188.166.163.246	7
185.220.101.28	7
162.247.74.216	7
162.247.74.213	7
171.25.193.20	7
62.102.148.69	7
80.67.172.162	7
202.29.220.182	7
157.245.104.96	7
199.195.254.80	7
222.186.30.57	7
62.102.148.68	7
77.247.181.165	7
185.129.62.62	7
107.189.10.42	7
174.138.42.84	7
185.100.87.206	7
162.247.74.206	6
51.15.80.14	6
210.115.229.74	6
117.34.200.242	6
54.36.108.162	6
141.98.80.173	6
154.223.136.86	6
164.132.51.91	6
109.70.100.20	6
45.79.168.138	6
27.78.14.83	6
185.207.139.2	6
222.186.15.91	6
180.232.96.162	6
178.73.215.171	6
149.56.44.47	6
91.250.242.12	6
195.176.3.20	6
195.176.3.24	6
51.15.43.205	6
204.48.31.174	6
195.154.179.3	6
80.82.67.167	6
58.17.243.151	6
213.6.203.226	6
109.201.133.100	6
222.186.31.83	6
5.189.152.24	6
218.93.27.230	6
130.185.250.76	6
23.129.64.159	6
104.244.72.115	6
209.141.58.114	6
185.220.101.44	6
89.31.57.5	6
178.20.55.18	6
178.20.55.16	6
111.229.109.26	6
37.187.69.69	6
58.211.122.58	6
141.98.254.225	6
185.220.100.255	6
185.220.100.254	6
185.220.101.26	6
45.33.70.146	6
51.89.200.108	6
94.230.208.147	6
185.165.168.229	6
185.220.101.27	6
185.220.101.25	6
192.42.116.13	6
209.141.41.103	6
72.240.115.2	6
173.248.227.117	6
192.68.11.219	6
